Number,involvementType,personID
MP20003564,VICTIM,4604
MP20002072,VICTIM,4605
MP20008923,VICTIM,4606
MP20800836,VICTIM,4607
MP20000782,VICTIM,4608
MP20006158,VICTIM,4609
MP20006203,VICTIM,4610
MP20007304,VICTIM,4611
MP20007355,VICTIM,4612
MP20004610,VICTIM,4613
MP20008306,VICTIM,4614
MP20006233,VICTIM,4615
MP20010401,VICTIM,4616
MP20001764,VICTIM,4617
MP20002721,VICTIM,4618
MP20007712,VICTIM,4619
MP20004608,VICTIM,4620
MP20801043,VICTIM,4621
MP20002597,VICTIM,4622
MP20008601,VICTIM,4623
MP20009668,VICTIM,4624
MP20007000,VICTIM,4625
MP20000433,SUSPECT,4626
MP20800784,VICTIM,4627
MP20001761,VICTIM,4628
MP20001130,VICTIM,4629
MP20005986,VICTIM,4630
MP20003837,VICTIM,4631
MP20001770,VICTIM,4632
MP20800079,VICTIM,4633
MP20007085,VICTIM,4634
MP20008601,VICTIM,4635
MP20002251,VICTIM,4636
MP20009517,VICTIM,4637
MP20005900,VICTIM,4638
MP20010370,VICTIM,4639
MP20002496,VICTIM,4640
MP20004432,VICTIM,4641
MP20011937,VICTIM,4642
MP20010959,SUSPECT,4643
MP20005769,SUSPECT,4644
MP20000719,VICTIM,4645
MP20000772,VICTIM,4646
MP20003729,SUSPECT,4647
MP20007362,VICTIM,4648
MP20009623,VICTIM,4649
MP20008733,VICTIM,4650
MP20000417,VICTIM,4651
MP20009868,VICTIM,4652
MP20010760,VICTIM,4653
MP20001654,VICTIM,4654
MP20001446,VICTIM,4655
MP20002401,VICTIM,4656
MP20005664,VICTIM,4657
MP20004606,VICTIM,4658
MP20008631,VICTIM,4659
MP20003122,VICTIM,4660
MP20002736,VICTIM,4661
MP20003913,VICTIM,4662
MP20001105,VICTIM,4663
MP20006567,SUSPECT,4664
MP20002639,VICTIM,4665
MP20800419,VICTIM,4666
MP20800786,VICTIM,4667
MP20008884,VICTIM,4668
MP20010186,VICTIM,4669
MP20800661,VICTIM,4670
MP20001946,VICTIM,4671
MP20004304,VICTIM,4672
MP20004426,VICTIM,4673
MP20005608,SUSPECT,4674
MP20000315,VICTIM,4675
MP20005261,VICTIM,4676
MP20005623,VICTIM,4677
MP20006556,VICTIM,4678
MP20009790,VICTIM,4679
MP20002027,VICTIM,4680
MP20011095,VICTIM,4681
MP20010683,VICTIM,4682
MP20007155,VICTIM,4683
MP20006705,VICTIM,4684
MP20008335,VICTIM,4685
MP20011093,VICTIM,4686
MP20002742,VICTIM,4687
MP20010841,VICTIM,4688
MP20008965,VICTIM,4689
MP20000564,VICTIM,4690
MP20011179,VICTIM,4691
MP20010680,VICTIM,4692
MP20002314,VICTIM,4693
MP20009751,VICTIM,4694
MP20001284,VICTIM,4695
MP20002893,VICTIM,4696
MP20008476,SUSPECT,4697
MP20001385,VICTIM,4698
MP20006707,VICTIM,4699
MP20003445,VICTIM,4700
MP20011640,VICTIM,4701
MP20005764,VICTIM,4702
MP20010791,VICTIM,4703
MP20008339,SUSPECT,4704
MP20004881,VICTIM,4705
MP20001378,VICTIM,4707
MP20007353,VICTIM,4708
MP20000719,VICTIM,4709
MP20004057,VICTIM,4710
MP20001799,VICTIM,4712
MP20001152,VICTIM,4713
MP20007166,VICTIM,4714
MP20011206,VICTIM,4716
MP20008240,VICTIM,4717
MP20008181,VICTIM,4718
MP20000780,VICTIM,4719
MP20009479,VICTIM,4720
MP20008038,VICTIM,4721
MP20008084,VICTIM,4722
MP20005301,VICTIM,4723
MP20008533,VICTIM,4724
MP20011205,VICTIM,4725
MP20005234,VICTIM,4726
MP20008393,VICTIM,4727
MP20004660,VICTIM,4728
MP20002499,VICTIM,4729
