CID,Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor,dateIncident,weekNumber,involvementType,personID,age,sex
MP20006492 - 10851 VC,MP20006492,"Mar 3, 2020, 3:59:00 AM","Mar 2, 2020, 12:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2409 PARK BRAE WAY,MO,NULL,95358,-121.0036319,37.59561822,0,0,0,NULL,FELONY,3/3/2020,16,VICTIM,5260,42,MALE
MP20006995 - 243 (E)(1) PC,MP20006995,"Mar 7, 2020, 8:52:00 AM","Mar 7, 2020, 8:52:00 AM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95354,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,3/7/2020,16,SUSPECT,5261,42,FEMALE
MP20009913 - 488 PC,MP20009913,"Apr 8, 2020, 8:57:00 AM","Apr 7, 2020, 9:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,420 S WASHINGTON ST,MODESTO,CALIFORNIA,95351,-121.00723,37.63487262,0,0,0,NULL,MISDEMEANOR,4/8/2020,21,VICTIM,5262,42,FEMALE
MP20800109 - 487 (A) PC,MP20800109,"Jan 10, 2020, 12:52:00 PM","Jan 2, 2020, 10:35:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,3817 ARARAT AVE,MODESTO,CALIFORNIA,95356,-121.0598048,37.69422557,0,0,0,NULL,FELONY,1/10/2020,8,VICTIM,5263,42,FEMALE
MP20006344 - 243 (E)(1) PC,MP20006344,"Mar 1, 2020, 1:51:15 PM","Mar 1, 2020, 1:51:15 PM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MO,NULL,95358,Confidential Location,Confidential Location,0,1,0,NULL,MISDEMEANOR,3/1/2020,15,SUSPECT,5264,42,MALE
MP20000338 - 273.5 (A) PC,MP20000338,"Jan 4, 2020, 7:04:45 PM","Jan 4, 2020, 7:04:45 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MO,NULL,NULL,Confidential Location,Confidential Location,0,0,0,NULL,FELONY,1/4/2020,7,VICTIM,5265,42,FEMALE
MP20002152 - 211 PC,MP20002152,"Jan 22, 2020, 10:26:48 PM","Jan 22, 2020, 10:26:48 PM",211 PC,211 PC ROBBERY 03 Robbery 853,1416 CARVER RD,MODESTO,CALIFORNIA,95350,-121.0216885,37.66488963,0,0,0,NULL,FELONY,1/22/2020,10,VICTIM,5266,42,FEMALE
MP20006833 - 460 (A) PC,MP20006833,"Mar 5, 2020, 8:54:08 PM","Mar 4, 2020, 7:00:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1117 CRATER AVE,MODESTO,CALIFORNIA,95351,-121.0082588,37.60871499,0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY,3/5/2020,16,VICTIM,5267,42,MALE
MP20003896 - 487 (A) PC,MP20003896,"Feb 8, 2020, 6:35:13 AM","Feb 8, 2020, 6:35:13 AM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,2701 JANNA AVE,MODESTO,CALIFORNIA,95350,-121.0296585,37.67985674,0,0,0,NULL,FELONY,2/8/2020,12,VICTIM,5268,42,FEMALE
MP20001191 - 460 (B) PC,MP20001191,"Jan 14, 2020, 4:46:47 AM","Jan 14, 2020, 4:46:47 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1424 H ST,MODESTO,CALIFORNIA,95354,-120.993294,37.64176318,1,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY,1/14/2020,9,SUSPECT,5269,42,MALE
MP20010209 - 484 (A) PC,MP20010209,"Apr 11, 2020, 12:31:30 PM","Apr 11, 2020, 12:31:30 PM",484 (A) PC,484 (A) PC PETTY THEFT: MISD 06 Theft 2252,1601 WOLVERINE WAY,MODESTO,CALIFORNIA,95355,-120.9693444,37.65680887,0,0,0,NULL,MISDEMEANOR,4/11/2020,21,SUSPECT,5270,42,MALE
MP20010209 - 460 (A) PC,MP20010209,"Apr 11, 2020, 12:31:30 PM","Apr 11, 2020, 12:31:30 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1601 WOLVERINE WAY,MODESTO,CALIFORNIA,95355,-120.9693444,37.65680887,0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY,4/11/2020,21,SUSPECT,5270,42,MALE
MP20800437 - 488 PC,MP20800437,"Feb 17, 2020, 11:01:00 PM","Feb 17, 2020, 7:30:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,3848 MC HENRY AVE,MODESTO,CALIFORNIA,95356,-120.9919106,37.69452597,0,0,0,NULL,MISDEMEANOR,2/17/2020,14,VICTIM,5271,42,UNKNOWN
MP20010760 - 245 (A)(1) PC,MP20010760,"Apr 17, 2020, 11:31:55 AM","Apr 17, 2020, 11:31:55 AM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,"PINE ST, MO / S MADISON ST, MO ( 45/E2 )",NULL,NULL,NULL,-121.0103721,37.63553817,1,0,0,NULL,FELONY,4/17/2020,22,SUSPECT,5272,42,MALE
