year,state_abbr,type,population,incidents,unemp
1989,MO,homicide,5159000,409,0.055
1989,MT,homicide,806000,23,0.058
1989,NC,homicide,6571000,584,0.035
1989,ND,homicide,660000,4,0.043
1989,NE,homicide,1611000,40,0.029
1989,NH,homicide,1107000,36,0.035
1989,NJ,homicide,7736000,394,0.041
1989,NM,homicide,1528000,132,0.067
1989,NV,homicide,1111000,91,0.047
1989,NY,homicide,17950000,2246,0.05
1989,OH,homicide,10907000,652,0.056
1989,OK,homicide,3224000,210,0.057
1989,OR,homicide,2820000,134,0.054
1989,PA,homicide,12040000,753,0.047
1989,RI,homicide,998000,49,0.041
1989,SC,homicide,3512000,320,0.046
1989,SD,homicide,715000,9,0.04
1989,TN,homicide,4940000,417,0.051
1989,TX,homicide,16991000,2029,0.067
1989,UT,homicide,1707000,45,0.046
1989,VA,homicide,6098000,480,0.039
1989,VT,homicide,567000,11,0.035
1989,WA,homicide,4761000,209,0.059
1989,WI,homicide,4867000,176,0.044
1989,WV,homicide,1857000,121,0.086
1989,WY,homicide,475000,21,0.062
1990,AK,homicide,550043,41,0.072
1990,AL,homicide,4040587,467,0.068
1990,AR,homicide,2350725,241,0.069
1990,AZ,homicide,3665228,284,0.053
1990,CA,homicide,29760021,3553,0.058
1990,CO,homicide,3294394,138,0.052
1990,CT,homicide,3287116,166,0.051
1990,DC,homicide,606900,472,0.063
1990,DE,homicide,666168,33,0.047
1990,FL,homicide,12937926,1379,0.061
1990,GA,homicide,6478216,767,0.055
1990,HI,homicide,1108229,44,0.027
1990,IA,homicide,2776755,54,0.044
1990,ID,homicide,1006749,27,0.055
1990,IL,homicide,11430602,1182,0.061
1990,IN,homicide,5544159,344,0.053
1990,KS,homicide,2477574,98,0.043
1990,KY,homicide,3685296,264,0.06
1990,LA,homicide,4219973,724,0.062
1990,MA,homicide,6016425,243,0.063
1990,MD,homicide,4781468,552,0.045
1990,ME,homicide,1227928,30,0.053
1990,MI,homicide,9295297,971,0.076
1990,MN,homicide,4375099,117,0.048
1990,MO,homicide,5117073,449,0.058
1990,MT,homicide,799065,39,0.06
1990,NC,homicide,6628637,711,0.041
1990,ND,homicide,638800,5,0.04
1990,NE,homicide,1578385,43,0.024
1990,NH,homicide,1109252,21,0.057
1990,NJ,homicide,7730188,432,0.051
1990,NM,homicide,1515069,139,0.066
1990,NV,homicide,1201833,116,0.047
1990,NY,homicide,17990455,2605,0.053
1990,OH,homicide,10847115,663,0.056
1990,OK,homicide,3145585,253,0.057
1990,OR,homicide,2842321,108,0.055
1990,PA,homicide,11881643,801,0.055
1990,RI,homicide,1003464,48,0.064
1990,SC,homicide,3486703,390,0.048
1990,SD,homicide,696004,14,0.038
1990,TN,homicide,4877185,511,0.053
1990,TX,homicide,16986510,2389,0.063
1990,UT,homicide,1722850,52,0.044
1990,VA,homicide,6187358,545,0.045
1990,VT,homicide,562758,13,0.05
1990,WA,homicide,4866692,238,0.052
1990,WI,homicide,4891769,225,0.044
1990,WV,homicide,1793477,102,0.085
1990,WY,homicide,453588,22,0.053
1991,AK,homicide,570000,42,0.085
1991,AL,homicide,4089000,469,0.073
1991,AR,homicide,2372000,264,0.074
1991,AZ,homicide,3750000,291,0.059
1991,CA,homicide,30380000,3859,0.077
1991,CO,homicide,3377000,199,0.052
1991,CT,homicide,3291000,187,0.065
1991,DC,homicide,598000,482,0.078
1991,DE,homicide,680000,37,0.062
1991,FL,homicide,13277000,1248,0.075
1991,GA,homicide,6623000,849,0.052
1991,HI,homicide,1135000,45,0.029
1991,IA,homicide,2795000,57,0.047
1991,ID,homicide,1039000,19,0.062
1991,IL,homicide,11543000,1300,0.072
1991,IN,homicide,5610000,423,0.06
1991,KS,homicide,2495000,153,0.044
1991,KY,homicide,3713000,253,0.073
1991,LA,homicide,4252000,720,0.073
1991,MA,homicide,5996000,249,0.086
1991,MD,homicide,4860000,569,0.061
1991,ME,homicide,1235000,15,0.075
1991,MI,homicide,9368000,1009,0.092
1991,MN,homicide,4432000,131,0.052
1991,MO,homicide,5158000,543,0.066
1991,MT,homicide,808000,21,0.069
1991,NC,homicide,6737000,769,0.058
1991,ND,homicide,635000,7,0.044
1991,NE,homicide,1593000,52,0.027
1991,NH,homicide,1105000,40,0.073
1991,NJ,homicide,7760000,406,0.067
1991,NM,homicide,1548000,163,0.071
1991,NV,homicide,1284000,152,0.058
1991,NY,homicide,18058000,2571,0.072
1991,OH,homicide,10939000,783,0.065
1991,OK,homicide,3175000,230,0.063
1991,OR,homicide,2922000,133,0.064
1991,PA,homicide,11961000,758,0.071
1991,RI,homicide,1004000,37,0.086
1991,SC,homicide,3560000,402,0.061
1991,SD,homicide,703000,12,0.035
1991,TN,homicide,4953000,547,0.067
1991,TX,homicide,17349000,2652,0.069
1991,UT,homicide,1770000,52,0.047
1991,VA,homicide,6286000,583,0.059
1991,VT,homicide,567000,12,0.066
1991,WA,homicide,5018000,211,0.063
1991,WI,homicide,4955000,239,0.055
1991,WV,homicide,1801000,111,0.107
1991,WY,homicide,460000,15,0.052
1992,AK,homicide,587000,44,0.089
1992,AL,homicide,4136000,455,0.076
1992,AR,homicide,2399000,259,0.071
1992,AZ,homicide,3832000,312,0.075
1992,CA,homicide,30867000,3921,0.093
1992,CO,homicide,3470000,216,0.06
1992,CT,homicide,3281000,166,0.075
1992,DC,homicide,589000,443,0.086
1992,DE,homicide,689000,32,0.054
1992,FL,homicide,13488000,1208,0.082
1992,GA,homicide,6751000,741,0.069
1992,HI,homicide,1160000,42,0.043
1992,IA,homicide,2812000,44,0.045
1992,ID,homicide,1067000,37,0.064
1992,IL,homicide,11631000,1322,0.079
