YrSt_ID,population,population_unemp,violent_crime,Unemp_Yr_Avg
1988 - SC,3493000,164171.0,25889,4.7
1988 - SD,715000,29315.0,813,4.1
1988 - TN,4919000,285302.0,26205,5.8
1988 - TX,16780000,1241720.0,109499,7.4
1988 - UT,1691000,84550.0,4110,5.0
1988 - VA,5996000,233844.0,17940,3.9
1988 - VT,556000,16680.0,791,3.0
1988 - WA,4619000,290997.0,21543,6.3
1988 - WI,4858000,213752.0,10414,4.4
1988 - WV,1884000,186516.0,2476,9.9
1988 - WY,471000,30615.0,1479,6.5
1989 - AK,527000,36890.0,2623,7.0
1989 - AL,4118000,288260.0,24329,7.0
1989 - AR,2406000,168420.0,11397,7.0
1989 - AZ,3556000,188468.0,21320,5.3
1989 - CA,29063000,1482213.0,284136,5.1
1989 - CO,3317000,189069.0,15636,5.7
1989 - CT,3239000,123082.0,16576,3.8
1989 - DC,604000,29596.0,12937,4.9
1989 - DE,673000,23555.0,3745,3.5
1989 - FL,12671000,709576.0,140575,5.6
1989 - GA,6436000,353980.0,47357,5.5
1989 - HI,1112000,27800.0,3004,2.5
1989 - IA,2840000,119280.0,7563,4.2
1989 - ID,1014000,53742.0,2582,5.3
1989 - IL,11658000,699480.0,98611,6.0
1989 - IN,5593000,268464.0,22735,4.8
1989 - KS,2513000,105546.0,10073,4.2
1989 - KY,3727000,238528.0,13302,6.4
1989 - LA,4382000,350560.0,34257,8.0
1989 - MA,5913000,242433.0,39912,4.1
1989 - MD,4694000,178372.0,40152,3.8
1989 - ME,1222000,48880.0,1676,4.0
1989 - MI,9273000,658383.0,65760,7.1
1989 - MN,4353000,187179.0,12549,4.3
1989 - MO,5159000,283745.0,32634,5.5
1989 - MT,806000,46748.0,935,5.8
1989 - NC,6571000,229985.0,35902,3.5
1989 - ND,660000,28380.0,417,4.3
1989 - NE,1611000,46719.0,4503,2.9
1989 - NH,1107000,38745.0,1865,3.5
1989 - NJ,7736000,317176.0,47111,4.1
1989 - NM,1528000,102376.0,10755,6.7
1989 - NV,1111000,52217.0,6947,4.7
1989 - NY,17950000,897500.0,203042,5.0
1989 - OH,10907000,610792.0,51109,5.6
1989 - OK,3224000,183768.0,15847,5.7
1989 - OR,2820000,152280.0,14625,5.4
1989 - PA,12040000,565880.0,45586,4.7
1989 - RI,998000,40918.0,3772,4.1
1989 - SC,3512000,161552.0,28576,4.6
1989 - SD,715000,28600.0,969,4.0
1989 - TN,4940000,251940.0,27118,5.1
1989 - TX,16991000,1138397.0,111889,6.7
1989 - UT,1707000,78522.0,4417,4.6
1989 - VA,6098000,237822.0,19057,3.9
1989 - VT,567000,19845.0,753,3.5
1989 - WA,4761000,280899.0,22460,5.9
1989 - WI,4867000,214148.0,10834,4.4
1989 - WV,1857000,159702.0,2724,8.6
1989 - WY,475000,29450.0,1227,6.2
1990 - AK,550043,39603.0,2885,7.2
1990 - AL,4040587,274760.0,28630,6.8
1990 - AR,2350725,162200.0,12511,6.9
1990 - AZ,3665228,194257.0,23911,5.3
1990 - CA,29760021,1726081.0,311051,5.8
1990 - CO,3294394,171308.0,17328,5.2
1990 - CT,3287116,167643.0,18201,5.1
1990 - DC,606900,38235.0,14919,6.3
1990 - DE,666168,31310.0,4365,4.7
1990 - FL,12937926,789213.0,160990,6.1
1990 - GA,6478216,356302.0,48996,5.5
1990 - HI,1108229,29922.0,3113,2.7
1990 - IA,2776755,122177.0,8321,4.4
1990 - ID,1006749,55371.0,2776,5.5
1990 - IL,11430602,697267.0,110575,6.1
1990 - IN,5544159,293840.0,26275,5.3
1990 - KS,2477574,106536.0,11093,4.3
1990 - KY,3685296,221118.0,14386,6.0
1990 - LA,4219973,261638.0,37914,6.2
1990 - MA,6016425,379035.0,44300,6.3
1990 - MD,4781468,215166.0,43940,4.5
1990 - ME,1227928,65080.0,1759,5.3
1990 - MI,9295297,706443.0,73468,7.6
1990 - MN,4375099,210005.0,13392,4.8
1990 - MO,5117073,296790.0,36602,5.8
1990 - MT,799065,47944.0,1273,6.0
1990 - NC,6628637,271774.0,41332,4.1
1990 - ND,638800,25552.0,472,4.0
1990 - NE,1578385,37881.0,5209,2.4
