YrSt_ID,population,robbery,Unemp_Yr_Avg
1988 - GA,6401000,15593,5.7
1988 - HI,1093000,919,3.2
1988 - IA,2834000,1132,4.5
1988 - ID,999000,202,6.0
1988 - IL,11544000,36097,6.7
1988 - IN,5575000,4963,5.3
1988 - KS,2487000,2136,4.5
1988 - KY,3721000,2764,7.6
1988 - LA,4420000,9238,10.8
1988 - MA,5871000,10352,3.3
1988 - MD,4644000,13994,4.3
1988 - ME,1206000,311,3.6
1988 - MI,9300000,22424,7.5
1988 - MN,4306000,4079,4.3
1988 - MO,5139000,8638,5.7
1988 - MT,804000,182,6.6
1988 - NC,6526000,7085,3.6
1988 - ND,663000,54,4.7
1988 - NE,1601000,898,3.6
1988 - NH,1097000,231,2.4
1988 - NJ,7720000,18927,3.8
1988 - NM,1510000,1557,7.5
1988 - NV,1060000,3087,5.2
1988 - NY,17898000,97434,4.3
1988 - OH,10872000,17546,6.1
1988 - OK,3263000,3428,6.4
1988 - OR,2741000,5289,5.8
1988 - PA,12027000,16607,5.1
1988 - RI,995000,1146,3.1
1988 - SC,3493000,4357,4.7
1988 - SD,715000,87,4.1
1988 - TN,4919000,8537,5.8
1988 - TX,16780000,39301,7.4
1988 - UT,1691000,915,5.0
1988 - VA,5996000,6748,3.9
1988 - VT,556000,89,3.0
1988 - WA,4619000,6738,6.3
1988 - WI,4858000,3258,4.4
1988 - WV,1884000,644,9.9
1988 - WY,471000,71,6.5
1989 - AK,527000,356,7.0
1989 - AL,4118000,5515,7.0
1989 - AR,2406000,2660,7.0
1989 - AZ,3556000,4944,5.3
1989 - CA,29063000,96431,5.1
1989 - CO,3317000,2984,5.7
1989 - CT,3239000,6956,3.8
1989 - DC,604000,6542,4.9
1989 - DE,673000,934,3.5
1989 - FL,12671000,51188,5.6
1989 - GA,6436000,17450,5.5
1989 - HI,1112000,925,2.5
1989 - IA,2840000,1108,4.2
1989 - ID,1014000,152,5.3
1989 - IL,11658000,39138,6.0
1989 - IN,5593000,5671,4.8
1989 - KS,2513000,2508,4.2
1989 - KY,3727000,2836,6.4
1989 - LA,4382000,10397,8.0
1989 - MA,5913000,11980,4.1
1989 - MD,4694000,15589,3.8
1989 - ME,1222000,293,4.0
1989 - MI,9273000,20616,7.1
1989 - MN,4353000,4128,4.3
1989 - MO,5159000,10060,5.5
1989 - MT,806000,137,5.8
1989 - NC,6571000,8770,3.5
1989 - ND,660000,61,4.3
1989 - NE,1611000,837,2.9
1989 - NH,1107000,264,3.5
1989 - NJ,7736000,21139,4.1
1989 - NM,1528000,1607,6.7
1989 - NV,1111000,2784,4.7
1989 - NY,17950000,103983,5.0
1989 - OH,10907000,18635,5.6
1989 - OK,3224000,4070,5.7
1989 - OR,2820000,4282,5.4
1989 - PA,12040000,18025,4.7
1989 - RI,998000,1122,4.1
1989 - SC,3512000,4574,4.6
1989 - SD,715000,84,4.0
1989 - TN,4940000,7926,5.1
1989 - TX,16991000,37913,6.7
1989 - UT,1707000,898,4.6
1989 - VA,6098000,6494,3.9
1989 - VT,567000,102,3.5
1989 - WA,4761000,6672,5.9
1989 - WI,4867000,3659,4.4
1989 - WV,1857000,793,8.6
1989 - WY,475000,81,6.2
1990 - AK,550043,422,7.2
1990 - AL,4040587,5805,6.8
1990 - AR,2350725,2661,6.9
1990 - AZ,3665228,5897,5.3
1990 - CA,29760021,112208,5.8
1990 - CO,3294394,2985,5.2
1990 - CT,3287116,7717,5.1
