Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor
MP20006970,"Mar 7, 2020, 12:44:15 AM","Mar 7, 2020, 12:44:15 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,105 PINE ST,MODESTO,CALIFORNIA,95351,-121.0075189,37.63544256,0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20007000,"Mar 7, 2020, 10:11:00 AM","Mar 7, 2020, 10:11:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,"E ORANGEBURG AVE, MO / PATRIOTS LN, MO ( 43/E1 )",MODESTO,CALIFORNIA,,-120.9162684,37.66390204,1,0,1,,FELONY
MP20007000,"Mar 7, 2020, 10:11:00 AM","Mar 7, 2020, 10:11:00 AM",664 /460 (A) PC,664 /460 (A) PC ATTEMPTED BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2911,"E ORANGEBURG AVE, MO / PATRIOTS LN, MO ( 43/E1 )",MODESTO,CALIFORNIA,,-120.9162684,37.66390204,1,0,1,RESIDENCE - DAY (6AM - 6PM),FELONY
MP20006978,"Mar 7, 2020, 1:50:24 AM","Mar 7, 2020, 1:50:24 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,2113 JEFF CT,MO,CALIFORNIA,95350,-121.0382664,37.67476142,1,0,0,,FELONY
MP20007016,"Mar 7, 2020, 2:24:00 PM","Mar 4, 2020, 3:31:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,3937 E ORANGEBURG AVE,MODESTO,CALIFORNIA,95355,-120.9218145,37.66375204,0,0,0,NON-RESIDENCE - UNKNOWN,FELONY
MP20007013,"Mar 7, 2020, 12:49:07 PM","Mar 4, 2020, 3:30:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,3937 E ORANGEBURG AVE,MODESTO,CALIFORNIA,95355,-120.9218145,37.66375204,0,0,0,NON-RESIDENCE - UNKNOWN,FELONY
MP20007003,"Mar 7, 2020, 12:36:50 PM","Mar 5, 2020, 3:00:00 AM",261 (A)(2) PC,261 (A)(2) PC RAPE BY FORCE/FEAR/ETC 02a. Rape 1375,128 ALMOND AVE,MODESTO,CALIFORNIA,95354,-120.9923203,37.64855799,0,0,0,,
MP20006957,"Mar 6, 2020, 9:09:38 PM","Mar 6, 2020, 6:30:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,105 PINE ST,MODESTO,CALIFORNIA,95351,-121.0079025,37.63520187,0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20007033,"Mar 7, 2020, 3:19:16 PM","Mar 7, 2020, 3:19:16 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,921 DURANT ST,MODESTO,CALIFORNIA,95350,-121.0053673,37.67818249,0,0,0,,FELONY
MP20007007,"Mar 7, 2020, 1:00:39 PM","Mar 6, 2020, 11:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1932 POST OAK DR,MODESTO,CALIFORNIA,95354,-120.9623632,37.64798656,0,0,0,,
