YrSt_ID,population,population_unemp,aggravated_assault,Unemp_Yr_Avg
2014 - UT,2944498,111891.0,3538,3.8
2014 - VA,8328098,433061.0,9462,5.2
2014 - VT,626767,24444.0,444,3.9
2014 - WA,7063166,430853.0,11586,6.1
2014 - WI,5759432,311009.0,9826,5.4
2014 - WV,1848751,122018.0,4517,6.6
2014 - WY,584304,24541.0,899,4.2
2015 - AK,737709,47951.0,3671,6.5
2015 - AL,4853875,296086.0,15960,6.1
2015 - AR,2977853,148893.0,11455,5.0
2015 - AZ,6817565,415871.0,18193,6.1
2015 - CA,38993940,2417624.0,99349,6.2
2015 - CO,5448819,212504.0,10532,3.9
2015 - CT,3584730,204330.0,4099,5.7
2015 - DC,670377,46256.0,4136,6.9
2015 - DE,944076,46260.0,3097,4.9
2015 - FL,20244914,1113470.0,63895,5.5
2015 - GA,10199398,611964.0,22467,6.0
2015 - HI,1431603,51538.0,2418,3.6
2015 - IA,3121997,118636.0,6291,3.8
2015 - ID,1652828,67766.0,2667,4.1
2015 - IL,12839047,770343.0,29019,6.0
2015 - IN,6612768,317413.0,15536,4.8
2015 - KS,2906721,122082.0,7850,4.2
2015 - KY,4424611,234504.0,4710,5.3
2015 - LA,4668960,294144.0,17416,6.3
2015 - MA,6784240,325644.0,18974,4.8
2015 - MD,5994983,305744.0,15819,5.1
2015 - ME,1329453,58496.0,931,4.4
2015 - MI,9917715,535557.0,26599,5.4
2015 - MN,5482435,202850.0,7094,3.7
2015 - MO,6076204,303810.0,20833,5.0
2015 - MS,2989390,191321.0,4467,6.4
2015 - MT,1032073,43347.0,2827,4.2
2015 - NC,10035186,572006.0,22805,5.7
2015 - ND,756835,21191.0,1378,2.8
2015 - NE,1893765,56813.0,3226,3.0
2015 - NH,1330111,45224.0,1558,3.4
2015 - NJ,8935421,518254.0,11414,5.8
2015 - NM,2080328,135221.0,9407,6.5
2015 - NV,2883758,193212.0,11965,6.7
2015 - NY,19747183,1046601.0,44493,5.3
2015 - OH,11605090,568649.0,15793,4.9
2015 - OK,3907414,171926.0,11535,4.4
2015 - OR,4024634,225380.0,6757,5.6
2015 - PA,12791904,677971.0,22419,5.3
2015 - RI,1055607,63336.0,1520,6.0
2015 - SC,4894834,293690.0,17652,6.0
2015 - SD,857919,26595.0,2554,3.1
2015 - TN,6595056,369323.0,30098,5.6
2015 - TX,27429639,1234334.0,67629,4.5
2015 - UT,2990632,107663.0,4048,3.6
2015 - VA,8367587,368174.0,9357,4.4
2015 - VT,626088,22539.0,482,3.6
2015 - WA,7160290,400976.0,12059,5.6
2015 - WI,5767891,259555.0,10270,4.5
2015 - WV,1841053,123351.0,4819,6.7
2015 - WY,586555,25222.0,1054,4.3
2016 - AK,741522,51165.0,4011,6.9
2016 - AL,4860545,281912.0,18869,5.8
2016 - AR,2988231,119529.0,12007,4.0
2016 - AZ,6908642,373067.0,21804,5.4
2016 - CA,39296476,2161306.0,104375,5.5
2016 - CO,5530105,182493.0,11681,3.3
2016 - CT,3587685,186560.0,4588,5.2
2016 - DC,684336,41744.0,4067,6.1
2016 - DE,952698,42871.0,3131,4.5
2016 - FL,20656589,991516.0,59816,4.8
2016 - GA,10313620,556935.0,24091,5.4
2016 - HI,1428683,42860.0,1831,3.0
2016 - IA,3130869,112711.0,6669,3.6
